tariff_code,description,import_duty,import_excise,import_vagst,export_duty,unit,sitc_code,hierarchy_level,level_name,has_tax_info,page_number,extraction_method
01.01,"01.01 Live horses, asses, mules and",,,,,,,2,"01.01 Live horses, asses, mules and",False,1,text
0101.21,00 - - Pure-bred breeding animals     No. 00151,8%,Free,15%,Free,,,2,00 - - Pure-bred breeding animals     No. 00151,True,1,text
0101.29,00 - - Other     No. 00151,20%,Free,15%,Free,,,2,00 - - Other     No. 00151,True,1,text
0101.30,00 - Asses     No. 00151,8%,Free,15%,Free,,,2,00 - Asses     No. 00151,True,1,text
0101.90,00 - Other     No. 00151,8%,Free,15%,Free,,,2,00 - Other     No. 00151,True,1,text
01.02,01.02 Live bovine animals,,,,,,,2,01.02 Live bovine animals,False,1,text
0102.31,00 -- Pure-bred breeding animals     No. 00111,Free,Free,15%,Free,,,2,00 -- Pure-bred breeding animals     No. 00111,True,1,text
0102.39,00 -- Other     No. 00111,8%,Free,15%,Free,,,2,00 -- Other     No. 00111,True,1,text
0102.90,00 -Other     No. 00119,8%,Free,15%,Free,,,2,00 -Other     No. 00119,True,1,text
01.03,01.03 Live swine.,,,,,,,2,01.03 Live swine.,False,1,text
0103.10,00 - Pure-bred breeding animals     No. 00131,8%,Free,15%,Free,,,2,00 - Pure-bred breeding animals     No. 00131,True,1,text
0103.91,00 - - Weighing less than 50 kg     No. 00139,8%,Free,15%,Free,,,2,00 - - Weighing less than 50 kg     No. 00139,True,2,text
0103.92,00 - - Weighing 50 kg or more     No. 00139,8%,Free,15%,Free,,,2,00 - - Weighing 50 kg or more     No. 00139,True,2,text
01.04,01.04 Live sheep and goats.,,,,,,,2,01.04 Live sheep and goats.,False,2,text
0104.10,00 - Sheep     No. 00121,8%,Free,15%,Free,,,2,00 - Sheep     No. 00121,True,2,text
0104.20,00 - Goats     No. 00122,8%,Free,15%,Free,,,2,00 - Goats     No. 00122,True,2,text
01.05,"01.05 Live poultry, that is to say, fowls of",,,,,,,2,"01.05 Live poultry, that is to say, fowls of",False,2,text
0105.11,00 - - Fowls of the species Gallus     No. 00141,Free,Free,15%,Free,,,2,00 - - Fowls of the species Gallus     No. 00141,True,2,text
0105.12,00 - - Turkeys     No. 00141,Free,Free,15%,Free,,,2,00 - - Turkeys     No. 00141,True,2,text
0105.13,00 - - Ducks     No. 00141,Free,Free,15%,Free,,,2,00 - - Ducks     No. 00141,True,2,text
0105.14,00 - - Geese     No. 00141,Free,Free,15%,Free,,,2,00 - - Geese     No. 00141,True,2,text
0105.15,00 - - Guinea fowls     No. 00141,Free,Free,15%,Free,,,2,00 - - Guinea fowls     No. 00141,True,2,text
0105.94,00 - - Fowls of species Gallus     No. 00149,Free,Free,15%,Free,,,2,00 - - Fowls of species Gallus     No. 00149,True,2,text
0105.99,00 - - Other     No. 00149,Free,Free,15%,Free,,,2,00 - - Other     No. 00149,True,2,text
01.06,01.06 Other live animals.,,,,,,,2,01.06 Other live animals.,False,2,text
0106.11,00 - - Primates     No. 00190,8%,Free,15%,Free,,,2,00 - - Primates     No. 00190,True,2,text
0106.12,10 ---Dolphins and porpoises     No. 00190,8%,Free,15%,Free,,,2,10 ---Dolphins and porpoises     No. 00190,True,2,text
0106.12,90 ---Other     No. 00190,8%,Free,15%,Free,,,2,90 ---Other     No. 00190,True,2,text
0106.13,00 - - Camels and other camelids     No. 00190,8%,Free,15%,Free,,,2,00 - - Camels and other camelids     No. 00190,True,2,text
0106.14,00 - - Rabbits and hares     No. 00190,8%,Free,15%,Free,,,2,00 - - Rabbits and hares     No. 00190,True,2,text
0106.19,00 - - Other     No. 00190,8%,Free,15%,Free,,,2,00 - - Other     No. 00190,True,2,text
0106.20,00 - Reptiles (including snakes and     No. 00190,8%,Free,15%,Free,,,2,00 - Reptiles (including snakes and     No. 00190,True,2,text
0106.31,00 - - Birds of prey     No. 00190,8%,Free,15%,Free,,,2,00 - - Birds of prey     No. 00190,True,3,text
0106.32,00 - - Psittaciformes (including     No. 00190,8%,Free,15%,Free,,,2,00 - - Psittaciformes (including     No. 00190,True,3,text
0106.33,00 --Ostriches; emus Dromaius     No. 00190,8%,Free,15%,Free,,,2,00 --Ostriches; emus Dromaius     No. 00190,True,3,text
0106.39,10 ---Of a kind used for human food     No. 00190,8%,Free,15%,Free,,,2,10 ---Of a kind used for human food     No. 00190,True,3,text
0106.39,"90 ---Other (including zoo animals,     No. 00190",20%,Free,15%,Free,,,2,"90 ---Other (including zoo animals,     No. 00190",True,3,text
0106.41,00 -- Bees     No. 00190,8%,Free,15%,Free,,,2,00 -- Bees     No. 00190,True,3,text
0106.49,00 -- Other     No. 00190,8%,Free,15%,Free,,,2,00 -- Other     No. 00190,True,3,text
0106.90,00 - Other     No. 00190,8%,Free,15%,Free,,,2,00 - Other     No. 00190,True,3,text
02.01,"02.01 Meat of bovine animals, fresh",,,,,,,2,"02.01 Meat of bovine animals, fresh",False,4,text
0201.10,00 - Carcasses and half-carcasses     kg 01111,8%,Free,15%,Free,,,2,00 - Carcasses and half-carcasses     kg 01111,True,4,text
0201.20,00 - Other cuts with bone in     kg 01112,8%,Free,15%,Free,,,2,00 - Other cuts with bone in     kg 01112,True,4,text
0201.30,00 - Boneless     kg 01112,8%,Free,15%,Free,,,2,00 - Boneless     kg 01112,True,4,text
02.02,"02.02 Meat of bovine animals, frozen.",,,,,,,2,"02.02 Meat of bovine animals, frozen.",False,4,text
0202.10,00 - Carcasses and half-carcasses     kg 01121,8%,Free,15%,Free,,,2,00 - Carcasses and half-carcasses     kg 01121,True,4,text
0202.20,00 - Other cuts with bone in     kg 01121,8%,Free,15%,Free,,,2,00 - Other cuts with bone in     kg 01121,True,4,text
0202.30,00 - Boneless     kg 01122,8%,Free,15%,Free,,,2,00 - Boneless     kg 01122,True,4,text
02.03,"02.03 Meat of swine, fresh, chilled",,,,,,,2,"02.03 Meat of swine, fresh, chilled",False,4,text
0203.11,00 - - Carcasses and half-carcasses     kg 01221,8%,Free,15%,Free,,,2,00 - - Carcasses and half-carcasses     kg 01221,True,4,text
0203.12,"00 - - Hams, shoulders and cuts     kg 01221",8%,Free,15%,Free,,,2,"00 - - Hams, shoulders and cuts     kg 01221",True,4,text
0203.19,10 ---Pig trotters     kg 01221,8%,Free,15%,Free,,,2,10 ---Pig trotters     kg 01221,True,4,text
0203.19,90 ---Other     kg 01221,8%,Free,15%,Free,,,2,90 ---Other     kg 01221,True,4,text
0203.21,00 - - Carcasses and half-carcasses     kg 01222,8%,Free,15%,Free,,,2,00 - - Carcasses and half-carcasses     kg 01222,True,4,text
0203.22,"00 - - Hams, shoulders and cuts     kg 01222",8%,Free,15%,Free,,,2,"00 - - Hams, shoulders and cuts     kg 01222",True,4,text
0203.29,10 - - - Pigs trotters     kg 01222,5%,Free,15%,Free,,,2,10 - - - Pigs trotters     kg 01222,True,4,text
0203.29,90 - - - Other     kg 01222,8%,Free,15%,Free,,,2,90 - - - Other     kg 01222,True,4,text
02.04,"02.04 Meat of sheep or goats, fresh,",,,,,,,2,"02.04 Meat of sheep or goats, fresh,",False,5,text
0204.10,00 - Carcasses and half-carcasses of     kg 01211,20%,Free,15%,Free,,,2,00 - Carcasses and half-carcasses of     kg 01211,True,5,text
0204.21,00 - - Carcasses and half-carcasses     kg 01211,20%,Free,15%,Free,,,2,00 - - Carcasses and half-carcasses     kg 01211,True,5,text
0204.22,00 - - Other cuts with bone in     kg 01211,20%,Free,15%,Free,,,2,00 - - Other cuts with bone in     kg 01211,True,5,text
0204.23,00 - - Boneless     kg 01211,20%,Free,15%,Free,,,2,00 - - Boneless     kg 01211,True,5,text
0204.30,00 - Carcasses and half-carcasses of     kg 01212,20%,Free,15%,Free,,,2,00 - Carcasses and half-carcasses of     kg 01212,True,5,text
0204.41,00 - - Carcasses and half-carcasses     kg 01212,20%,Free,15%,Free,,,2,00 - - Carcasses and half-carcasses     kg 01212,True,5,text
0204.42,00 - - Other cuts with bone in     kg 01212,20%,Free,15%,Free,,,2,00 - - Other cuts with bone in     kg 01212,True,5,text
0204.43,10 --- Mutton flaps (inexpensive     kg 01212,20%,Free,15%,Free,,,2,10 --- Mutton flaps (inexpensive     kg 01212,True,5,text
0204.43,90 --- Other     kg 01212,Free,Free,15%,Free,,,2,90 --- Other     kg 01212,True,5,text
0204.50,00 - Meat of goats     kg 01213,Free,Free,15%,Free,,,2,00 - Meat of goats     kg 01213,True,5,text
0205.00,"00 Meat of horses, asses, mules or     kg 01240",8%,Free,15%,Free,,,2,"00 Meat of horses, asses, mules or     kg 01240",True,5,text
02.06,"02.06 Edible offal of bovine animals,",,,,,,,2,"02.06 Edible offal of bovine animals,",False,5,text
0206.10,"00 - Of bovine animals, fresh or     kg 01251",20%,Free,15%,Free,,,2,"00 - Of bovine animals, fresh or     kg 01251",True,5,text
0206.21,00 - - Tongues     kg 01252,20%,Free,15%,Free,,,2,00 - - Tongues     kg 01252,True,5,text
0206.22,00 - - Livers     kg 01252,20%,Free,15%,Free,,,2,00 - - Livers     kg 01252,True,5,text
0206.29,00 - - Other     kg 01252,20%,Free,15%,Free,,,2,00 - - Other     kg 01252,True,5,text
0206.30,"00 - Of swine, fresh or chilled     kg 01253",20%,Free,15%,Free,,,2,"00 - Of swine, fresh or chilled     kg 01253",True,5,text
0206.41,00 - - Livers     kg 01254,20%,Free,15%,Free,,,2,00 - - Livers     kg 01254,True,5,text
0206.49,00 - - Other     kg 01254,20%,Free,15%,Free,,,2,00 - - Other     kg 01254,True,5,text
0206.80,"00 - Other, fresh or chilled     kg 01255",20%,Free,15%,Free,,,2,"00 - Other, fresh or chilled     kg 01255",True,5,text
0206.90,00 - Other Frozen     kg 01256,20%,Free,15%,Free,,,2,00 - Other Frozen     kg 01256,True,6,text
02.07,"02.07 Meat and edible offal, of the",,,,,,,2,"02.07 Meat and edible offal, of the",False,6,text
0207.11,10 ---Livers     kg 01231,Free,Free,15%,Free,,,2,10 ---Livers     kg 01231,True,6,text
0207.11,20 ---Wings     kg 01231,Free,Free,15%,Free,,,2,20 ---Wings     kg 01231,True,6,text
0207.11,90 ---Other     kg 01231,Free,Free,15%,Free,,,2,90 ---Other     kg 01231,True,6,text
0207.12,10 ---Livers     kg 01231,Free,Free,15%,Free,,,2,10 ---Livers     kg 01231,True,6,text
0207.12,20 ---Wings     kg 01231,Free,Free,15%,Free,,,2,20 ---Wings     kg 01231,True,6,text
0207.12,90 ---Other     kg 01231,Free,Free,15%,Free,,,2,90 ---Other     kg 01231,True,6,text
0207.13,10 ---Cuts     kg 01231,Free,Free,15%,Free,,,2,10 ---Cuts     kg 01231,True,6,text
0207.13,20 ---Offal     kg 01231,20%,Free,15%,Free,,,2,20 ---Offal     kg 01231,True,6,text
0207.13,90 ---Other     kg 01231,20%,Free,15%,Free,,,2,90 ---Other     kg 01231,True,6,text
0207.14,10 ---Cuts     kg 01231,10%,Free,15%,Free,,,2,10 ---Cuts     kg 01231,True,6,text
0207.14,20 ---Offal     kg 01231,20%,Free,15%,Free,,,2,20 ---Offal     kg 01231,True,6,text
0207.14,90 ---Other     kg 01231,20%,Free,15%,Free,,,2,90 ---Other     kg 01231,True,6,text
0207.24,"00 - - Not cut in pieces, fresh or     kg 01232",Free,Free,15%,Free,,,2,"00 - - Not cut in pieces, fresh or     kg 01232",True,6,text
0207.25,"00 - - Not cut in pieces, frozen     kg 01232",Free,Free,15%,Free,,,2,"00 - - Not cut in pieces, frozen     kg 01232",True,6,text
0207.26,10 - - - Tails     kg 01232,20%,10%,15%,Free,,,2,10 - - - Tails     kg 01232,True,6,text
0207.26,20 - - - Wings     kg 01232,5%,Free,15%,Free,,,2,20 - - - Wings     kg 01232,True,6,text
0207.26,30 - - - Other cuts     kg 01232,5%,Free,15%,Free,,,2,30 - - - Other cuts     kg 01232,True,6,text
0207.26,40 - - - Offal     kg 01232,20%,Free,15%,Free,,,2,40 - - - Offal     kg 01232,True,6,text
0207.27,10 - - - Tails     kg 01232,20%,10%,15%,Free,,,2,10 - - - Tails     kg 01232,True,7,text
0207.27,20 - - - Wings     kg 01232,5%,Free,15%,Free,,,2,20 - - - Wings     kg 01232,True,7,text
0207.27,30 - - - Other cuts     kg 01232,5%,Free,15%,Free,,,2,30 - - - Other cuts     kg 01232,True,7,text
0207.27,40 - - - Offal     kg 01232,20%,Free,15%,Free,,,2,40 - - - Offal     kg 01232,True,7,text
0207.41,"00 - - Not cut in pieces, fresh or     kg 01233",Free,Free,15%,Free,,,2,"00 - - Not cut in pieces, fresh or     kg 01233",True,7,text
0207.42,"00 - - Not cut in pieces, frozen     kg 01233",Free,Free,15%,Free,,,2,"00 - - Not cut in pieces, frozen     kg 01233",True,7,text
0207.43,"00 - - Fatty livers, fresh or chilled     kg 01233",20%,Free,15%,Free,,,2,"00 - - Fatty livers, fresh or chilled     kg 01233",True,7,text
0207.44,"00 - - Other, fresh or chilled     kg 01233",20%,Free,15%,Free,,,2,"00 - - Other, fresh or chilled     kg 01233",True,7,text
0207.45,10 --- Livers     kg 01233,20%,Free,15%,Free,,,2,10 --- Livers     kg 01233,True,7,text
0207.45,90,,,,,,,2,90,False,7,text
0207.51,"00 -- Not cut in pieces, fresh or chilled     kg 01233",Free,Free,15%,Free,,,2,"00 -- Not cut in pieces, fresh or chilled     kg 01233",True,7,text
0207.52,"00 -- Not cut in pieces, frozen     kg 01233",Free,Free,15%,Free,,,2,"00 -- Not cut in pieces, frozen     kg 01233",True,7,text
0207.53,"00 -- Fatty livers, fresh or chilled     kg 01233",20%,Free,15%,Free,,,2,"00 -- Fatty livers, fresh or chilled     kg 01233",True,7,text
0207.54,"00 -- Other, fresh or chilled     kg 01233",20%,Free,15%,Free,,,2,"00 -- Other, fresh or chilled     kg 01233",True,7,text
0207.55,10 ---Livers     kg 01233,20%,Free,15%,Free,,,2,10 ---Livers     kg 01233,True,7,text
0207.55,90 ---Other     kg 01233,20%,Free,15%,Free,,,2,90 ---Other     kg 01233,True,7,text
0207.60,10 ---Livers     kg 01233,20%,Free,15%,Free,,,2,10 ---Livers     kg 01233,True,7,text
0207.60,90 ---Other     kg 01233,20%,Free,15%,Free,,,2,90 ---Other     kg 01233,True,7,text
02.08,"02.08 Other meat and edible meat offal,",,,,,,,2,"02.08 Other meat and edible meat offal,",False,7,text
0208.10,00 - Of rabbits or hares     kg 01291,20%,Free,15%,Free,,,2,00 - Of rabbits or hares     kg 01291,True,7,text
0208.30,00 - Of primates     kg 01292,20%,Free,15%,Free,,,2,00 - Of primates     kg 01292,True,7,text
0208.40,10 --- Dolphins and porpoises     kg 01292,20%,Free,15%,Free,,,2,10 --- Dolphins and porpoises     kg 01292,True,8,text
0208.40,90 --- Other     kg 01292,20%,Free,15%,Free,,,2,90 --- Other     kg 01292,True,8,text
0208.50,10 ---Of crocodiles     kg 01292,20%,Free,15%,Free,,,2,10 ---Of crocodiles     kg 01292,True,8,text
0208.50,90 ---Other     kg 01292,20%,Free,15%,Free,,,2,90 ---Other     kg 01292,True,8,text
0208.60,00 -- Of camels and other camelids     kg 01292,20%,Free,15%,Free,,,2,00 -- Of camels and other camelids     kg 01292,True,8,text
0208.90,00 - Other     kg 01299,20%,Free,15%,Free,,,2,00 - Other     kg 01299,True,8,text
02.09,"02.09 Pig fat, free of lean meat, and",,,,,,,2,"02.09 Pig fat, free of lean meat, and",False,8,text
0209.10,00 --Of pigs     kg 41131,20%,Free,15%,Free,,,2,00 --Of pigs     kg 41131,True,8,text
0209.90,00 --Others     kg 41131,20%,Free,15%,Free,,,2,00 --Others     kg 41131,True,8,text
02.10,"02.10 Meat and edible meat offal,",,,,,,,2,"02.10 Meat and edible meat offal,",False,8,text
0210.11,"00 - - Hams, shoulders and cuts     kg 01611",20%,Free,15%,Free,,,2,"00 - - Hams, shoulders and cuts     kg 01611",True,8,text
0210.12,00 - - Bellies (streaky) and cuts     kg 01612,20%,Free,15%,Free,,,2,00 - - Bellies (streaky) and cuts     kg 01612,True,8,text
0210.19,10 ---Bacon     kg 01619,20%,Free,15%,Free,,,2,10 ---Bacon     kg 01619,True,8,text
0210.19,90 ---Other     kg 01619,20%,Free,15%,Free,,,2,90 ---Other     kg 01619,True,8,text
0210.20,"10 ---Beef, corned     kg 01681",20%,Free,15%,Free,,,2,"10 ---Beef, corned     kg 01681",True,8,text
0210.20,20 ---Tongues     kg 01681,20%,Free,15%,Free,,,2,20 ---Tongues     kg 01681,True,8,text
0210.20,90 ---Other     kg 01681,20%,Free,15%,Free,,,2,90 ---Other     kg 01681,True,9,text
0210.91,00 - - Of primates     kg 01689,20%,Free,15%,Free,,,2,00 - - Of primates     kg 01689,True,9,text
0210.92,"00 - Of whales, dolphins and     kg 01689",20%,Free,15%,Free,,,2,"00 - Of whales, dolphins and     kg 01689",True,9,text
0210.93,10 ---Of crocodiles     kg 01689,20%,Free,15%,Free,,,2,10 ---Of crocodiles     kg 01689,True,9,text
0210.93,90 ---Other     kg 01689,20%,Free,15%,Free,,,2,90 ---Other     kg 01689,True,9,text
0210.99,10 ---Shearwaters (Mutton birds)     kg 01689,20%,Free,15%,Free,,,2,10 ---Shearwaters (Mutton birds)     kg 01689,True,9,text
0210.99,20 ---Poultry liver     kg 01689,20%,Free,15%,Free,,,2,20 ---Poultry liver     kg 01689,True,9,text
0210.99,90 ---Other     kg 01689,20%,Free,15%,Free,,,2,90 ---Other     kg 01689,True,9,text
03.01,03.01 Live fish.,,,,,,,2,03.01 Live fish.,False,10,text
0301.11,00 -- Freshwater     kg 03411,20%,Free,15%,Free,,,2,00 -- Freshwater     kg 03411,True,10,text
0301.19,00 -- Other     kg 03411,20%,Free,15%,Free,,,2,00 -- Other     kg 03411,True,10,text
0301.91,"00 - - Trout (Salmo trutta,     kg 03411",20%,Free,15%,Free,,,2,"00 - - Trout (Salmo trutta,     kg 03411",True,10,text
0301.92,00 - - Eels (Anguilla spp.)     kg 03411,20%,Free,15%,Free,,,2,00 - - Eels (Anguilla spp.)     kg 03411,True,10,text
0301.93,"00 - - Carp (Cyprinus spp.,Carassius     kg 03411",20%,Free,15%,Free,,,2,"00 - - Carp (Cyprinus spp.,Carassius     kg 03411",True,10,text
0301.94,00 - - Atlantic and Pacific bluefin     kg 03411,20%,Free,15%,Free,,,2,00 - - Atlantic and Pacific bluefin     kg 03411,True,10,text
0301.95,00 - - Southern bluefin tunas     kg 03411,20%,Free,15%,Free,,,2,00 - - Southern bluefin tunas     kg 03411,True,10,text
0301.99,10,,,,,,,2,10,False,11,text
0301.99,20 ---Live Vietnamese catfish     kg 03411,20%,Free,15%,Free,,,2,20 ---Live Vietnamese catfish     kg 03411,True,11,text
0301.99,30 --- Other live juvenile     kg 03411,20%,Free,15%,Free,,,2,30 --- Other live juvenile     kg 03411,True,11,text
0301.99,90 --- Other     kg 03411,20%,Free,15%,Free,,,2,90 --- Other     kg 03411,True,11,text
03.02,"03.02 Fish, fresh or chilled, excluding",,,,,,,2,"03.02 Fish, fresh or chilled, excluding",False,11,text
0302.11,"00 - - Trout (Salmo trutta,     kg 03412",20%,Free,15%,Free,,,2,"00 - - Trout (Salmo trutta,     kg 03412",True,11,text
0302.13,00 - - Pacific salmon (Oncorhynchus     kg 03412,20%,Free,15%,Free,,,2,00 - - Pacific salmon (Oncorhynchus     kg 03412,True,11,text
0302.14,00 -- Atlantic salmon (Salmo salar)     kg 03412,20%,Free,15%,Free,,,2,00 -- Atlantic salmon (Salmo salar)     kg 03412,True,11,text
0302.19,00 - - Other     kg 03412,20%,Free,15%,Free,,,2,00 - - Other     kg 03412,True,11,text
0302.21,00 - - Halibut (Reinhardtius     kg 03413,20%,Free,15%,Free,,,2,00 - - Halibut (Reinhardtius     kg 03413,True,11,text
0302.22,00 - - Plaice (Pleuronectes platessa)     kg 03413,20%,Free,15%,Free,,,2,00 - - Plaice (Pleuronectes platessa)     kg 03413,True,11,text
0302.23,00 - - Sole (Solea spp.)     kg 03413,20%,Free,15%,Free,,,2,00 - - Sole (Solea spp.)     kg 03413,True,11,text
0302.24,00 -- Turbots (Psetta maxima)     kg 03413,20%,Free,15%,Free,,,2,00 -- Turbots (Psetta maxima)     kg 03413,True,11,text
0302.29,00 - Other     kg 03413,20%,Free,15%,Free,,,2,00 - Other     kg 03413,True,11,text
0302.31,00 - - Albacore or longfinned tunas     kg 03414,20%,Free,15%,Free,,,2,00 - - Albacore or longfinned tunas     kg 03414,True,12,text
0302.32,00 - - Yellowfin tunas (Thunnus     kg 03414,20%,Free,15%,Free,,,2,00 - - Yellowfin tunas (Thunnus     kg 03414,True,12,text
0302.33,00 - - Skipjack or stripe-bellied bonito     kg 03414,20%,Free,15%,Free,,,2,00 - - Skipjack or stripe-bellied bonito     kg 03414,True,12,text
0302.34,00 - - Bigeye tunas (Thunnus obseus)     kg 03414,20%,Free,15%,Free,,,2,00 - - Bigeye tunas (Thunnus obseus)     kg 03414,True,12,text
0302.35,00 - - Atlantic and Pacific bluefin     kg 03414,20%,Free,15%,Free,,,2,00 - - Atlantic and Pacific bluefin     kg 03414,True,12,text
0302.36,00 - - Southern Bluefin tunas     kg 03414,20%,Free,15%,Free,,,2,00 - - Southern Bluefin tunas     kg 03414,True,12,text
0302.39,00 - - Other (US/Japan)     kg 03414,20%,Free,15%,Free,,,2,00 - - Other (US/Japan)     kg 03414,True,12,text
0302.99,:,,,,,,,2,:,False,12,text
0302.41,"00 -- Herrings (Clupea harengus,     kg 03415",20%,Free,15%,Free,,,2,"00 -- Herrings (Clupea harengus,     kg 03415",True,12,text
0302.42,00 --Anchovies (Engraulis spp.)     kg 03415,20%,Free,15%,Free,,,2,00 --Anchovies (Engraulis spp.)     kg 03415,True,12,text
0302.43,"00 --Sardines (Sardina pilchardus,     kg 03415",20%,Free,15%,Free,,,2,"00 --Sardines (Sardina pilchardus,     kg 03415",True,12,text
0302.44,"00 --Mackerel (Scomber scombrus,     kg 03415",20%,Free,15%,Free,,,2,"00 --Mackerel (Scomber scombrus,     kg 03415",True,13,text
0302.45,00 --Jack and horse mackerel     kg 03415,20%,Free,15%,Free,,,2,00 --Jack and horse mackerel     kg 03415,True,13,text
0302.46,00 --Cobia (Rachycentron canadum)     kg 03415,20%,Free,15%,Free,,,2,00 --Cobia (Rachycentron canadum)     kg 03415,True,13,text
0302.47,00 --Swordfish (Xiphias gladius)     kg 03415,20%,Free,15%,Free,,,2,00 --Swordfish (Xiphias gladius)     kg 03415,True,13,text
0302.49,10 --- Marlin,,,,,,,2,10 --- Marlin,False,13,text
0302.49,20 --- Sailfish,,,,,,,2,20 --- Sailfish,False,13,text
0302.49,90 --- Other,,,,,,,2,90 --- Other,False,13,text
0302.49,90 ---Other     kg 03415,20%,Free,15%,Free,,,2,90 ---Other     kg 03415,True,13,text
0302.51,"00 --Cod (Gadus morhua, Gadus ogac,     kg 03416",20%,Free,15%,Free,,,2,"00 --Cod (Gadus morhua, Gadus ogac,     kg 03416",True,13,text
0302.52,00 --Haddock (Melanogrammus     kg 03416,20%,Free,15%,Free,,,2,00 --Haddock (Melanogrammus     kg 03416,True,13,text
0302.53,00 --Coalfish (Pollachius virens)     kg 03416,20%,Free,15%,Free,,,2,00 --Coalfish (Pollachius virens)     kg 03416,True,13,text
0302.54,"00 --Hake (Merluccius spp., Urophycis     kg 03416",20%,Free,15%,Free,,,2,"00 --Hake (Merluccius spp., Urophycis     kg 03416",True,13,text
0302.55,00 --Alaska Pollack (Theragra     kg 03416,20%,Free,15%,Free,,,2,00 --Alaska Pollack (Theragra     kg 03416,True,13,text
0302.56,00 --Blue whitings (Micromesistius     kg 03416,20%,Free,15%,Free,,,2,00 --Blue whitings (Micromesistius     kg 03416,True,13,text
0302.59,10 --- Reef fish     kg 03416,20%,Free,15%,Free,,,2,10 --- Reef fish     kg 03416,True,13,text
0302.59,90 --- Other     kg 03416,20%,Free,15%,Free,,,2,90 --- Other     kg 03416,True,13,text
0302.71,00 -- Tilapias (Oreochromis spp.)     kg 03419,20%,Free,15%,Free,,,2,00 -- Tilapias (Oreochromis spp.)     kg 03419,True,14,text
0302.72,"00 -- Catfish (Pangasius spp., Silurus     kg 03419",20%,Free,15%,Free,,,2,"00 -- Catfish (Pangasius spp., Silurus     kg 03419",True,14,text
0302.73,"00 -- Carp (Cyprinus spp., Carassius     kg 03419",20%,Free,15%,Free,,,2,"00 -- Carp (Cyprinus spp., Carassius     kg 03419",True,14,text
0302.74,00 -- Eels (Anguilla spp.)     kg 03419,20%,Free,15%,Free,,,2,00 -- Eels (Anguilla spp.)     kg 03419,True,14,text
0302.79,00 -- Other     kg 03419,20%,Free,15%,Free,,,2,00 -- Other     kg 03419,True,14,text
0302.81,00 -- Dogfish and other sharks     kg 03419,20%,Free,15%,Free,,,2,00 -- Dogfish and other sharks     kg 03419,True,14,text
0302.82,00 -- Rays and skates (Rajidae)     kg 03419,20%,Free,15%,Free,,,2,00 -- Rays and skates (Rajidae)     kg 03419,True,14,text
0302.83,00 -- Toothfish (Dissostichus spp.)     kg 03419,20%,Free,15%,Free,,,2,00 -- Toothfish (Dissostichus spp.)     kg 03419,True,14,text
0302.84,00 -- Seabass (Dicentrarchus spp.)     kg 03419,20%,Free,15%,Free,,,2,00 -- Seabass (Dicentrarchus spp.)     kg 03419,True,14,text
0302.85,00 -- Seabream (Sparidae)     kg 03419,20%,Free,15%,Free,,,2,00 -- Seabream (Sparidae)     kg 03419,True,14,text
0302.89,10 ---Barramundi,,,,,,,2,10 ---Barramundi,False,14,text
0302.89,20 ---Barracuda,,,,,,,2,20 ---Barracuda,False,14,text
0302.89,30 ---Barracouta,,,,,,,2,30 ---Barracouta,False,14,text
0302.89,90 ---Other,,,,,,,2,90 ---Other,False,14,text
0302.91,"00 --Livers, roes and milt     kg 03419",20%,Free,15%,Free,,,2,"00 --Livers, roes and milt     kg 03419",True,15,text
0302.92,00 --Shark fins     kg 03419,20%,Free,15%,Free,,,2,00 --Shark fins     kg 03419,True,15,text
0302.99,00 --Other     kg 03419,20%,Free,15%,Free,,,2,00 --Other     kg 03419,True,15,text
03.03,"03.03 Fish, frozen, excluding fish",,,,,,,2,"03.03 Fish, frozen, excluding fish",False,15,text
03.04,03.04.,,,,,,,2,03.04.,False,15,text
0303.99,:,,,,,,,2,:,False,15,text
0303.11,00 - Sockeye salmon(red salmon)     kg 03421,20%,Free,15%,Free,,,2,00 - Sockeye salmon(red salmon)     kg 03421,True,15,text
0303.12,00 -- Other Pacific salmon     kg 03421,20%,Free,15%,Free,,,2,00 -- Other Pacific salmon     kg 03421,True,15,text
0303.13,00 -- Atlantic salmon (Salmo salar)     kg 03421,20%,Free,15%,Free,,,2,00 -- Atlantic salmon (Salmo salar)     kg 03421,True,15,text
0303.14,"00 -- Trout (Salmo trutta,     kg 03421",20%,Free,15%,Free,,,2,"00 -- Trout (Salmo trutta,     kg 03421",True,15,text
0303.19,00 - - Other     kg 03421,20%,Free,15%,Free,,,2,00 - - Other     kg 03421,True,15,text
0303.23,00 -- Tilapias (Oreochromis spp.)     kg 03421,20%,Free,15%,Free,,,2,00 -- Tilapias (Oreochromis spp.)     kg 03421,True,15,text
0303.24,"00 -- Catfish (Pangasius spp., Silurus     kg 03421",20%,Free,15%,Free,,,2,"00 -- Catfish (Pangasius spp., Silurus     kg 03421",True,15,text
0303.25,"00 -- Carp (Cyprinus spp., Carassius     kg 03421",20%,Free,15%,Free,,,2,"00 -- Carp (Cyprinus spp., Carassius     kg 03421",True,16,text
0303.26,00 -- Eels (Anguilla spp.)     kg 03421,20%,Free,15%,Free,,,2,00 -- Eels (Anguilla spp.)     kg 03421,True,16,text
0303.29,00 - - Other     kg 03421,20%,Free,15%,Free,,,2,00 - - Other     kg 03421,True,16,text
